ID,CALL,CN,TYPE
DD91DF,HB-1685,N6,ASK21
DD4CCA,HB-1351,D1,Astir CS
DDDECC,HB-1551,N4,LS4
4B4BCB,HB-1828,N1,LS4
DD93EC,HB-3377,N8,LS8-18
DDBC61,HB-3444,N2,DG1000s
DD91FA,HB-1478,78,ASW19
DD9197,HB-1639,HM,DG200
DD926C,HB-1794,9M,DG300
DD91E2,HB-2122,HR,Ventus cT
DD9420,HB-2181,51,ASW24
DDC489,HB-2411,11,Carat
DDDED9,HB-2455,LM,DuoDiscus XLT
DD94B0,HB-2479,NB,Nimbus 4M
DDDFB7,HB-2285,N7,DG500M
DDDF05,HB-2322,JW,DG800B
DDDF06,HB-2330,RV,ASH26
DDF00B,HB-3118,HL,SZD55
DDEEF6,HB-3380,DKU,Discus 2b
DDEC0A,D-KGSU,SU,ASG29E
053EF27B,D-4580,R,LS3-17
